"Sigla  da Empresa";"Número do Voo";"D I";"Tipo de Linha";"Aeroporto Origem";"Aeroporto Destino";"Partida Prevista";"Partida Real";"Chegada Prevista";"Chegada Real";"Situação";"Justificativa"
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"19/08/2004 06:50";"19/08/2004 06:50";"19/08/2004 07:27";"19/08/2004 07:27";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"24/08/2004 06:50";"24/08/2004 06:50";"24/08/2004 07:39";"24/08/2004 07:39";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"03/08/2004 06:50";"03/08/2004 06:50";"03/08/2004 07:22";"03/08/2004 07:42";"Realizado";"MX"
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"21/08/2004 06:50";"21/08/2004 06:50";"21/08/2004 09:35";"21/08/2004 09:35";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"20/08/2004 06:50";"20/08/2004 06:50";"20/08/2004 09:35";"20/08/2004 09:35";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"30/08/2004 06:50";"30/08/2004 06:50";"30/08/2004 09:35";"30/08/2004 09:35";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"13/08/2004 06:50";"13/08/2004 06:50";"13/08/2004 07:27";"13/08/2004 07:27";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"25/08/2004 06:50";"25/08/2004 06:50";"25/08/2004 07:22";"25/08/2004 07:50";"Realizado";"AT"
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"27/08/2004 06:50";"27/08/2004 06:50";"27/08/2004 07:25";"27/08/2004 07:25";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"05/08/2004 06:50";"05/08/2004 06:50";"05/08/2004 07:25";"05/08/2004 07:25";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"20/08/2004 06:50";"20/08/2004 06:50";"20/08/2004 07:27";"20/08/2004 07:27";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"30/08/2004 06:50";"30/08/2004 06:50";"30/08/2004 07:25";"30/08/2004 07:25";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"10/08/2004 06:50";"10/08/2004 06:50";"10/08/2004 08:40";"10/08/2004 08:40";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"06/08/2004 06:50";"06/08/2004 06:55";"06/08/2004 07:22";"06/08/2004 07:40";"Realizado";"MX"
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"11/08/2004 06:50";"11/08/2004 06:50";"11/08/2004 07:39";"11/08/2004 07:39";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"20/08/2004 06:50";"20/08/2004 06:50";"20/08/2004 07:39";"20/08/2004 07:39";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"10/08/2004 06:50";"10/08/2004 06:50";"10/08/2004 07:22";"10/08/2004 07:22";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"17/08/2004 06:50";"  ";"17/08/2004 07:25";"  ";"Cancelado";"XN"
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"20/08/2004 06:50";"20/08/2004 06:50";"20/08/2004 07:25";"20/08/2004 07:25";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"02/08/2004 06:50";"02/08/2004 06:50";"02/08/2004 07:27";"02/08/2004 07:27";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"09/08/2004 06:50";"09/08/2004 06:50";"09/08/2004 07:25";"09/08/2004 07:25";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"23/08/2004 06:50";"23/08/2004 06:50";"23/08/2004 07:22";"23/08/2004 07:22";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"12/08/2004 06:50";"12/08/2004 06:50";"12/08/2004 07:25";"12/08/2004 07:25";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"06/08/2004 06:50";"06/08/2004 06:50";"06/08/2004 09:35";"06/08/2004 09:35";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"28/08/2004 06:50";"28/08/2004 06:50";"28/08/2004 09:35";"28/08/2004 09:35";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"28/08/2004 06:50";"28/08/2004 06:50";"28/08/2004 07:39";"28/08/2004 07:39";"Realizado";"  "
